Date-Time,Region,Facility,Entrance,Entries,Exits
3/1/18 12:00 AM,,,Sensor 24,0,0
3/1/18 12:00 AM,,,Sensor 25,0,0
3/1/18 12:00 AM,UC Berkeley,BANC Library,Bancroft,564,588
3/1/18 12:00 AM,UC Berkeley,BIOS Library,VLSB1,659,807
3/1/18 12:00 AM,UC Berkeley,BIOS Library,VLSB2,634,491
3/1/18 12:00 AM,UC Berkeley,CHEM Library,CHEM 2.9,0,0
3/1/18 12:00 AM,UC Berkeley,DOE Library,Doe North,1650,1555
3/1/18 12:00 AM,UC Berkeley,DOE Library,Doe South,1556,1643
3/1/18 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,1124,1027
3/1/18 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,704,725
3/1/18 12:00 AM,UC Berkeley,EAL Library,EAL 2.9,0,0
3/1/18 12:00 AM,UC Berkeley,EART Library,Earth North,140,182
3/1/18 12:00 AM,UC Berkeley,EART Library,Earth South,188,152
3/1/18 12:00 AM,UC Berkeley,ENGI Library,ENGI,1834,1831
3/1/18 12:00 AM,UC Berkeley,ENVI Library,ENVI,974,984
3/1/18 12:00 AM,UC Berkeley,MATH Library,Math 2.9,0,0
3/1/18 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,3614,77
3/1/18 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,19,3355
3/1/18 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,3103,3385
3/1/18 12:00 AM,UC Berkeley,MORR Library,Morrison,302,282
3/1/18 12:00 AM,UC Berkeley,NEWS Library,News,62,58
3/1/18 12:00 AM,UC Berkeley,OPTO Library,OPTO,150,152
3/1/18 12:00 AM,UC Berkeley,PUBL Library,PUBL_Back,88,88
3/1/18 12:00 AM,UC Berkeley,PUBL Library,PUBL_Front,61,68
3/1/18 12:00 AM,UC Berkeley,SOCR Library,SOCR,154,149
3/2/18 12:00 AM,,,Sensor 24,0,0
3/2/18 12:00 AM,,,Sensor 25,0,0
3/2/18 12:00 AM,UC Berkeley,BANC Library,Bancroft,541,508
3/2/18 12:00 AM,UC Berkeley,BIOS Library,VLSB1,432,475
3/2/18 12:00 AM,UC Berkeley,BIOS Library,VLSB2,291,263
3/2/18 12:00 AM,UC Berkeley,CHEM Library,CHEM 2.9,0,0
3/2/18 12:00 AM,UC Berkeley,DOE Library,Doe North,1356,1349
3/2/18 12:00 AM,UC Berkeley,DOE Library,Doe South,1404,1384
3/2/18 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,697,648
3/2/18 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,620,680
3/2/18 12:00 AM,UC Berkeley,EAL Library,EAL 2.9,0,0
3/2/18 12:00 AM,UC Berkeley,EART Library,Earth North,108,105
3/2/18 12:00 AM,UC Berkeley,EART Library,Earth South,113,116
3/2/18 12:00 AM,UC Berkeley,ENGI Library,ENGI,1448,1449
3/2/18 12:00 AM,UC Berkeley,ENVI Library,ENVI,571,567
3/2/18 12:00 AM,UC Berkeley,MATH Library,Math 2.9,0,0
3/2/18 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,2168,70
