facility,sqft,annual_counter,sqft_log2,counter_log2
Anthropology,6763,,12.72344764,
Biosciences,49216,124909,15.58683979,16.9305179
Gardner,133140,,17.02258455,
Engineering,21370,221020,14.38329929,17.7538174
Music,24039,7968,14.55308926,12.96000193
East Asian,47384,49069,15.53211237,15.58252425
Environmental Design,14846,132684,13.85778665,17.01763488
Doe Annex,74776,,16.19028768,
Business,32113,,14.97086983,
Chemistry,9253,32728,13.17570548,14.99823782
Moffitt,83623,1118318,16.35161218,20.09289905
Optometry,3739,15239,11.86843676,13.89548061
Doe,90185,861341,16.46059988,19.71622498
Public Health,5656,20720,12.4655664,14.33873638
Earth Sciences,9947,58573,13.28004576,15.83794817
Math-Stat,8109,24478,12.9853083,14.57919807
Social Research,3792,24066,11.88874325,14.55470875
