Facility,Day,Count
BANC Library,7/3/17,525
BANC Library,7/5/17,508
BANC Library,7/6/17,551
BANC Library,7/7/17,500
BANC Library,7/8/17,1
BANC Library,7/9/17,2
BANC Library,7/10/17,486
BANC Library,7/11/17,457
BANC Library,7/12/17,537
BANC Library,7/13/17,420
BANC Library,7/14/17,533
BANC Library,7/15/17,2
BANC Library,7/16/17,2
BANC Library,7/17/17,537
BANC Library,7/18/17,549
BANC Library,7/19/17,468
BANC Library,7/20/17,532
BANC Library,7/21/17,561
BANC Library,7/22/17,11
BANC Library,7/24/17,530
BANC Library,7/25/17,603
BANC Library,7/26/17,524
BANC Library,7/27/17,523
BANC Library,7/28/17,490
BANC Library,7/29/17,8
BANC Library,7/30/17,10
BANC Library,7/31/17,602
BANC Library,8/1/17,478
BANC Library,8/2/17,443
BANC Library,8/3/17,636
BANC Library,8/4/17,467
BANC Library,8/5/17,10
BANC Library,8/6/17,4
BANC Library,8/7/17,528
BANC Library,8/8/17,529
BANC Library,8/9/17,500
BANC Library,8/10/17,530
BANC Library,8/11/17,439
BANC Library,8/14/17,563
BANC Library,8/15/17,713
BANC Library,8/16/17,741
BANC Library,8/17/17,785
BANC Library,8/18/17,600
BANC Library,8/21/17,614
BANC Library,8/22/17,534
BANC Library,8/23/17,965
BANC Library,8/24/17,871
BANC Library,8/25/17,800
BANC Library,8/26/17,4
BANC Library,8/27/17,1
BANC Library,8/28/17,970
BANC Library,8/29/17,849
BANC Library,8/30/17,886
BANC Library,8/31/17,769
BANC Library,9/1/17,754
BANC Library,9/2/17,7
BANC Library,9/3/17,5
BANC Library,9/5/17,829
BANC Library,9/6/17,852
BANC Library,9/7/17,752
BANC Library,9/8/17,700
BANC Library,9/9/17,4
BANC Library,9/10/17,6
BANC Library,9/11/17,948
BANC Library,9/12/17,765
BANC Library,9/13/17,803
BANC Library,9/14/17,747
BANC Library,9/15/17,612
BANC Library,9/16/17,4
BANC Library,9/17/17,5
BANC Library,9/18/17,832
BANC Library,9/19/17,819
BANC Library,9/20/17,848
BANC Library,9/21/17,717
BANC Library,9/22/17,643
BANC Library,9/23/17,4
BANC Library,9/24/17,4
BANC Library,9/25/17,889
BANC Library,9/26/17,750
BANC Library,9/27/17,748
BANC Library,9/28/17,627
BANC Library,9/29/17,595
BANC Library,9/30/17,3
BANC Library,10/1/17,3
BANC Library,10/2/17,813
BANC Library,10/3/17,755
BANC Library,10/4/17,715
BANC Library,10/5/17,748
BANC Library,10/6/17,602
BANC Library,10/7/17,4
BANC Library,10/8/17,1
BANC Library,10/9/17,855
BANC Library,10/10/17,743
BANC Library,10/11/17,747
BANC Library,10/12/17,837
BANC Library,10/13/17,762
BANC Library,10/14/17,1
BANC Library,10/15/17,1
BANC Library,10/16/17,814
BANC Library,10/17/17,725
BANC Library,10/18/17,716
BANC Library,10/19/17,596
BANC Library,10/20/17,887
BANC Library,10/21/17,1048
BANC Library,10/22/17,4
BANC Library,10/23/17,693
BANC Library,10/24/17,700
BANC Library,10/25/17,697
BANC Library,10/26/17,641
BANC Library,10/27/17,536
BANC Library,10/28/17,3
BANC Library,10/29/17,3
BANC Library,10/30/17,713
BANC Library,10/31/17,670
BANC Library,11/1/17,680
BANC Library,11/2/17,664
BANC Library,11/3/17,578
BANC Library,11/5/17,1
BANC Library,11/6/17,748
BANC Library,11/7/17,658
BANC Library,11/8/17,658
BANC Library,11/9/17,600
BANC Library,11/10/17,1
BANC Library,11/11/17,1
BANC Library,11/12/17,3
BANC Library,11/13/17,704
BANC Library,11/14/17,730
BANC Library,11/15/17,634
BANC Library,11/16/17,588
BANC Library,11/17/17,543
BANC Library,11/18/17,6
BANC Library,11/19/17,3
BANC Library,11/20/17,643
BANC Library,11/21/17,524
BANC Library,11/22/17,250
BANC Library,11/27/17,669
BANC Library,11/28/17,689
BANC Library,11/29/17,705
BANC Library,11/30/17,682
BANC Library,12/1/17,588
BANC Library,12/2/17,2
BANC Library,12/3/17,1
BANC Library,12/4/17,519
BANC Library,12/5/17,520
BANC Library,12/6/17,526
BANC Library,12/7/17,462
BANC Library,12/8/17,530
BANC Library,12/9/17,2
BANC Library,12/10/17,1
BANC Library,12/11/17,555
BANC Library,12/12/17,486
BANC Library,12/13/17,393
BANC Library,12/14/17,327
BANC Library,12/15/17,308
BANC Library,12/18/17,255
BANC Library,12/19/17,253
BANC Library,12/20/17,237
BANC Library,12/21/17,252
BANC Library,12/22/17,93
BANC Library,12/26/17,1
BANC Library,12/28/17,1
BANC Library,12/30/17,1
BANC Library,1/2/18,187
BANC Library,1/3/18,210
BANC Library,1/4/18,242
BANC Library,1/5/18,231
BANC Library,1/6/18,1
BANC Library,1/8/18,198
BANC Library,1/9/18,241
BANC Library,1/10/18,256
BANC Library,1/11/18,245
BANC Library,1/12/18,243
BANC Library,1/13/18,129
BANC Library,1/16/18,666
BANC Library,1/17/18,690
BANC Library,1/18/18,699
BANC Library,1/19/18,565
BANC Library,1/20/18,4
BANC Library,1/22/18,769
BANC Library,1/23/18,709
BANC Library,1/24/18,695
BANC Library,1/25/18,671
BANC Library,1/26/18,595
BANC Library,1/29/18,775
BANC Library,1/30/18,688
BANC Library,1/31/18,667
BANC Library,2/1/18,657
BANC Library,2/2/18,588
BANC Library,2/3/18,2
BANC Library,2/5/18,711
BANC Library,2/6/18,755
BANC Library,2/7/18,797
BANC Library,2/8/18,650
BANC Library,2/9/18,592
BANC Library,2/10/18,2
BANC Library,2/12/18,793
BANC Library,2/13/18,777
BANC Library,2/14/18,626
BANC Library,2/15/18,666
BANC Library,2/16/18,638
BANC Library,2/17/18,3
BANC Library,2/18/18,4
BANC Library,2/20/18,781
BANC Library,2/21/18,714
BANC Library,2/22/18,690
BANC Library,2/23/18,602
BANC Library,2/24/18,1
BANC Library,2/25/18,2
BANC Library,2/26/18,700
BANC Library,2/27/18,616
BANC Library,2/28/18,764
BANC Library,3/1/18,564
BANC Library,3/2/18,541
BANC Library,3/3/18,5
BANC Library,3/4/18,4
BANC Library,3/5/18,657
BANC Library,3/6/18,676
BANC Library,3/7/18,649
BANC Library,3/8/18,683
BANC Library,3/9/18,595
BANC Library,3/10/18,1
BANC Library,3/11/18,9
BANC Library,3/12/18,642
BANC Library,3/13/18,619
BANC Library,3/14/18,580
BANC Library,3/15/18,666
BANC Library,3/16/18,601
BANC Library,3/18/18,4
BANC Library,3/19/18,747
BANC Library,3/20/18,673
BANC Library,3/21/18,670
BANC Library,3/22/18,576
BANC Library,3/23/18,542
BANC Library,3/26/18,337
BANC Library,3/27/18,390
BANC Library,3/28/18,367
BANC Library,3/29/18,325
BANC Library,3/31/18,3
BANC Library,4/2/18,731
BANC Library,4/3/18,728
BANC Library,4/4/18,703
BANC Library,4/5/18,702
BANC Library,4/6/18,528
BANC Library,4/7/18,4
BANC Library,4/8/18,4
BANC Library,4/9/18,662
BANC Library,4/10/18,591
BANC Library,4/11/18,673
BANC Library,4/12/18,631
BANC Library,4/13/18,494
BANC Library,4/14/18,2
BANC Library,4/15/18,1
BANC Library,4/16/18,596
BANC Library,4/17/18,676
BANC Library,4/18/18,625
BANC Library,4/19/18,745
BANC Library,4/20/18,705
BANC Library,4/21/18,959
BANC Library,4/22/18,2
BANC Library,4/23/18,655
BANC Library,4/24/18,619
BANC Library,4/25/18,664
BANC Library,4/26/18,670
BANC Library,4/27/18,582
BANC Library,4/28/18,2
BANC Library,4/29/18,9
BANC Library,4/30/18,474
BANC Library,5/1/18,527
BANC Library,5/2/18,575
BANC Library,5/3/18,601
BANC Library,5/4/18,548
BANC Library,5/5/18,103
BANC Library,5/6/18,2
BANC Library,5/7/18,528
BANC Library,5/8/18,454
BANC Library,5/9/18,434
BANC Library,5/10/18,433
BANC Library,5/11/18,561
BANC Library,5/12/18,2
BANC Library,5/14/18,378
BANC Library,5/15/18,404
BANC Library,5/16/18,300
BANC Library,5/17/18,377
BANC Library,5/18/18,290
BANC Library,5/19/18,1
BANC Library,5/21/18,376
BANC Library,5/22/18,284
BANC Library,5/23/18,272
BANC Library,5/24/18,279
BANC Library,5/25/18,274
BANC Library,5/29/18,324
BANC Library,5/30/18,359
BANC Library,5/31/18,259
BANC Library,6/1/18,263
BANC Library,6/2/18,22
BANC Library,6/4/18,321
BANC Library,6/5/18,398
BANC Library,6/6/18,305
BANC Library,6/7/18,316
BANC Library,6/8/18,328
BANC Library,6/11/18,312
BANC Library,6/12/18,363
BANC Library,6/13/18,327
BANC Library,6/14/18,336
BANC Library,6/15/18,256
BANC Library,6/18/18,394
BANC Library,6/19/18,428
BANC Library,6/20/18,450
BANC Library,6/21/18,450
BANC Library,6/22/18,378
BANC Library,6/25/18,436
BANC Library,6/26/18,402
BANC Library,6/27/18,400
BANC Library,6/28/18,377
BANC Library,6/29/18,425
DOE Library,7/1/17,81
DOE Library,7/2/17,44
DOE Library,7/3/17,2854
DOE Library,7/4/17,52
DOE Library,7/5/17,2534
DOE Library,7/6/17,2522
DOE Library,7/7/17,2351
DOE Library,7/8/17,1479
DOE Library,7/9/17,1287
DOE Library,7/10/17,2659
DOE Library,7/11/17,2496
DOE Library,7/12/17,2617
DOE Library,7/13/17,2654
DOE Library,7/14/17,2078
DOE Library,7/15/17,1556
DOE Library,7/16/17,1418
DOE Library,7/17/17,2750
DOE Library,7/18/17,2698
DOE Library,7/19/17,2427
DOE Library,7/20/17,2583
DOE Library,7/21/17,2271
DOE Library,7/22/17,1843
DOE Library,7/23/17,1518
DOE Library,7/24/17,2804
DOE Library,7/25/17,2600
DOE Library,7/26/17,2854
DOE Library,7/27/17,2683
DOE Library,7/28/17,2272
DOE Library,7/29/17,1910
DOE Library,7/30/17,1420
DOE Library,7/31/17,2770
DOE Library,8/1/17,2662
DOE Library,8/2/17,2532
DOE Library,8/3/17,2579
DOE Library,8/4/17,1990
DOE Library,8/5/17,1723
DOE Library,8/6/17,1446
DOE Library,8/7/17,2758
DOE Library,8/8/17,2690
DOE Library,8/9/17,2755
DOE Library,8/10/17,2888
DOE Library,8/11/17,2159
DOE Library,8/12/17,139
DOE Library,8/13/17,45
DOE Library,8/14/17,2391
DOE Library,8/15/17,2899
DOE Library,8/16/17,2539
DOE Library,8/17/17,2504
DOE Library,8/18/17,2449
DOE Library,8/19/17,36
DOE Library,8/20/17,50
DOE Library,8/21/17,2674
DOE Library,8/22/17,2648
DOE Library,8/23/17,4628
DOE Library,8/24/17,4450
DOE Library,8/25/17,3871
DOE Library,8/26/17,1668
DOE Library,8/27/17,1161
DOE Library,8/28/17,4918
DOE Library,8/29/17,4888
DOE Library,8/30/17,4479
DOE Library,8/31/17,3980
DOE Library,9/1/17,3581
DOE Library,9/2/17,1949
DOE Library,9/3/17,1713
DOE Library,9/4/17,57
DOE Library,9/5/17,4220
DOE Library,9/6/17,4348
DOE Library,9/7/17,4275
DOE Library,9/8/17,3618
DOE Library,9/9/17,1526
DOE Library,9/10/17,1768
DOE Library,9/11/17,4622
DOE Library,9/12/17,4461
DOE Library,9/13/17,4627
DOE Library,9/14/17,3932
DOE Library,9/15/17,3496
DOE Library,9/16/17,1803
DOE Library,9/17/17,2238
DOE Library,9/18/17,4341
DOE Library,9/19/17,4658
DOE Library,9/20/17,4348
DOE Library,9/21/17,4023
DOE Library,9/22/17,3508
DOE Library,9/23/17,1699
DOE Library,9/24/17,1764
DOE Library,9/25/17,4357
DOE Library,9/26/17,4258
DOE Library,9/27/17,4034
DOE Library,9/28/17,3827
