Facility,day1,count
BANC Library,2017-07-03T00:00:00Z,525
BANC Library,2017-07-05T00:00:00Z,508
BANC Library,2017-07-06T00:00:00Z,551
BANC Library,2017-07-07T00:00:00Z,500
BANC Library,2017-07-08T00:00:00Z,1
BANC Library,2017-07-09T00:00:00Z,2
BANC Library,2017-07-10T00:00:00Z,486
BANC Library,2017-07-11T00:00:00Z,457
BANC Library,2017-07-12T00:00:00Z,537
BANC Library,2017-07-13T00:00:00Z,420
BANC Library,2017-07-14T00:00:00Z,533
BANC Library,2017-07-15T00:00:00Z,2
BANC Library,2017-07-16T00:00:00Z,2
BANC Library,2017-07-17T00:00:00Z,537
BANC Library,2017-07-18T00:00:00Z,549
BANC Library,2017-07-19T00:00:00Z,468
BANC Library,2017-07-20T00:00:00Z,532
BANC Library,2017-07-21T00:00:00Z,561
BANC Library,2017-07-22T00:00:00Z,11
BANC Library,2017-07-24T00:00:00Z,530
BANC Library,2017-07-25T00:00:00Z,603
BANC Library,2017-07-26T00:00:00Z,524
BANC Library,2017-07-27T00:00:00Z,523
BANC Library,2017-07-28T00:00:00Z,490
BANC Library,2017-07-29T00:00:00Z,8
BANC Library,2017-07-30T00:00:00Z,10
BANC Library,2017-07-31T00:00:00Z,602
BANC Library,2017-08-01T00:00:00Z,478
BANC Library,2017-08-02T00:00:00Z,443
BANC Library,2017-08-03T00:00:00Z,636
BANC Library,2017-08-04T00:00:00Z,467
BANC Library,2017-08-05T00:00:00Z,10
BANC Library,2017-08-06T00:00:00Z,4
BANC Library,2017-08-07T00:00:00Z,528
BANC Library,2017-08-08T00:00:00Z,529
BANC Library,2017-08-09T00:00:00Z,500
BANC Library,2017-08-10T00:00:00Z,530
BANC Library,2017-08-11T00:00:00Z,439
BANC Library,2017-08-14T00:00:00Z,563
BANC Library,2017-08-15T00:00:00Z,713
BANC Library,2017-08-16T00:00:00Z,741
BANC Library,2017-08-17T00:00:00Z,785
BANC Library,2017-08-18T00:00:00Z,600
BANC Library,2017-08-21T00:00:00Z,614
BANC Library,2017-08-22T00:00:00Z,534
BANC Library,2017-08-23T00:00:00Z,965
BANC Library,2017-08-24T00:00:00Z,871
BANC Library,2017-08-25T00:00:00Z,800
BANC Library,2017-08-26T00:00:00Z,4
BANC Library,2017-08-27T00:00:00Z,1
BANC Library,2017-08-28T00:00:00Z,970
BANC Library,2017-08-29T00:00:00Z,849
BANC Library,2017-08-30T00:00:00Z,886
BANC Library,2017-08-31T00:00:00Z,769
BANC Library,2017-09-01T00:00:00Z,754
BANC Library,2017-09-02T00:00:00Z,7
BANC Library,2017-09-03T00:00:00Z,5
BANC Library,2017-09-05T00:00:00Z,829
BANC Library,2017-09-06T00:00:00Z,852
BANC Library,2017-09-07T00:00:00Z,752
BANC Library,2017-09-08T00:00:00Z,700
BANC Library,2017-09-09T00:00:00Z,4
BANC Library,2017-09-10T00:00:00Z,6
BANC Library,2017-09-11T00:00:00Z,948
BANC Library,2017-09-12T00:00:00Z,765
BANC Library,2017-09-13T00:00:00Z,803
BANC Library,2017-09-14T00:00:00Z,747
BANC Library,2017-09-15T00:00:00Z,612
BANC Library,2017-09-16T00:00:00Z,4
BANC Library,2017-09-17T00:00:00Z,5
BANC Library,2017-09-18T00:00:00Z,832
BANC Library,2017-09-19T00:00:00Z,819
BANC Library,2017-09-20T00:00:00Z,848
BANC Library,2017-09-21T00:00:00Z,717
BANC Library,2017-09-22T00:00:00Z,643
BANC Library,2017-09-23T00:00:00Z,4
BANC Library,2017-09-24T00:00:00Z,4
BANC Library,2017-09-25T00:00:00Z,889
BANC Library,2017-09-26T00:00:00Z,750
BANC Library,2017-09-27T00:00:00Z,748
BANC Library,2017-09-28T00:00:00Z,627
BANC Library,2017-09-29T00:00:00Z,595
BANC Library,2017-09-30T00:00:00Z,3
BANC Library,2017-10-01T00:00:00Z,3
BANC Library,2017-10-02T00:00:00Z,813
BANC Library,2017-10-03T00:00:00Z,755
BANC Library,2017-10-04T00:00:00Z,715
BANC Library,2017-10-05T00:00:00Z,748
BANC Library,2017-10-06T00:00:00Z,602
BANC Library,2017-10-07T00:00:00Z,4
BANC Library,2017-10-08T00:00:00Z,1
BANC Library,2017-10-09T00:00:00Z,855
BANC Library,2017-10-10T00:00:00Z,743
BANC Library,2017-10-11T00:00:00Z,747
BANC Library,2017-10-12T00:00:00Z,837
BANC Library,2017-10-13T00:00:00Z,762
BANC Library,2017-10-14T00:00:00Z,1
BANC Library,2017-10-15T00:00:00Z,1
BANC Library,2017-10-16T00:00:00Z,814
BANC Library,2017-10-17T00:00:00Z,725
BANC Library,2017-10-18T00:00:00Z,716
BANC Library,2017-10-19T00:00:00Z,596
BANC Library,2017-10-20T00:00:00Z,887
BANC Library,2017-10-21T00:00:00Z,1048
BANC Library,2017-10-22T00:00:00Z,4
BANC Library,2017-10-23T00:00:00Z,693
BANC Library,2017-10-24T00:00:00Z,700
BANC Library,2017-10-25T00:00:00Z,697
BANC Library,2017-10-26T00:00:00Z,641
BANC Library,2017-10-27T00:00:00Z,536
BANC Library,2017-10-28T00:00:00Z,3
BANC Library,2017-10-29T00:00:00Z,3
BANC Library,2017-10-30T00:00:00Z,713
BANC Library,2017-10-31T00:00:00Z,670
BANC Library,2017-11-01T00:00:00Z,680
BANC Library,2017-11-02T00:00:00Z,664
BANC Library,2017-11-03T00:00:00Z,578
BANC Library,2017-11-05T00:00:00Z,1
BANC Library,2017-11-06T00:00:00Z,748
BANC Library,2017-11-07T00:00:00Z,658
BANC Library,2017-11-08T00:00:00Z,658
BANC Library,2017-11-09T00:00:00Z,600
BANC Library,2017-11-10T00:00:00Z,1
BANC Library,2017-11-11T00:00:00Z,1
BANC Library,2017-11-12T00:00:00Z,3
BANC Library,2017-11-13T00:00:00Z,704
BANC Library,2017-11-14T00:00:00Z,730
BANC Library,2017-11-15T00:00:00Z,634
BANC Library,2017-11-16T00:00:00Z,588
BANC Library,2017-11-17T00:00:00Z,543
BANC Library,2017-11-18T00:00:00Z,6
BANC Library,2017-11-19T00:00:00Z,3
BANC Library,2017-11-20T00:00:00Z,643
BANC Library,2017-11-21T00:00:00Z,524
BANC Library,2017-11-22T00:00:00Z,250
BANC Library,2017-11-27T00:00:00Z,669
BANC Library,2017-11-28T00:00:00Z,689
BANC Library,2017-11-29T00:00:00Z,705
BANC Library,2017-11-30T00:00:00Z,682
BANC Library,2017-12-01T00:00:00Z,588
BANC Library,2017-12-02T00:00:00Z,2
BANC Library,2017-12-03T00:00:00Z,1
BANC Library,2017-12-04T00:00:00Z,519
BANC Library,2017-12-05T00:00:00Z,520
BANC Library,2017-12-06T00:00:00Z,526
BANC Library,2017-12-07T00:00:00Z,462
BANC Library,2017-12-08T00:00:00Z,530
BANC Library,2017-12-09T00:00:00Z,2
BANC Library,2017-12-10T00:00:00Z,1
BANC Library,2017-12-11T00:00:00Z,555
BANC Library,2017-12-12T00:00:00Z,486
BANC Library,2017-12-13T00:00:00Z,393
BANC Library,2017-12-14T00:00:00Z,327
BANC Library,2017-12-15T00:00:00Z,308
BANC Library,2017-12-18T00:00:00Z,255
BANC Library,2017-12-19T00:00:00Z,253
BANC Library,2017-12-20T00:00:00Z,237
BANC Library,2017-12-21T00:00:00Z,252
BANC Library,2017-12-22T00:00:00Z,93
BANC Library,2017-12-26T00:00:00Z,1
BANC Library,2017-12-28T00:00:00Z,1
BANC Library,2017-12-30T00:00:00Z,1
BANC Library,2018-01-02T00:00:00Z,187
BANC Library,2018-01-03T00:00:00Z,210
BANC Library,2018-01-04T00:00:00Z,242
BANC Library,2018-01-05T00:00:00Z,231
BANC Library,2018-01-06T00:00:00Z,1
BANC Library,2018-01-08T00:00:00Z,198
BANC Library,2018-01-09T00:00:00Z,241
BANC Library,2018-01-10T00:00:00Z,256
BANC Library,2018-01-11T00:00:00Z,245
BANC Library,2018-01-12T00:00:00Z,243
BANC Library,2018-01-13T00:00:00Z,129
BANC Library,2018-01-16T00:00:00Z,666
BANC Library,2018-01-17T00:00:00Z,690
BANC Library,2018-01-18T00:00:00Z,699
BANC Library,2018-01-19T00:00:00Z,565
BANC Library,2018-01-20T00:00:00Z,4
BANC Library,2018-01-22T00:00:00Z,769
BANC Library,2018-01-23T00:00:00Z,709
BANC Library,2018-01-24T00:00:00Z,695
BANC Library,2018-01-25T00:00:00Z,671
BANC Library,2018-01-26T00:00:00Z,595
BANC Library,2018-01-29T00:00:00Z,775
BANC Library,2018-01-30T00:00:00Z,688
BANC Library,2018-01-31T00:00:00Z,667
BANC Library,2018-02-01T00:00:00Z,657
BANC Library,2018-02-02T00:00:00Z,588
BANC Library,2018-02-03T00:00:00Z,2
BANC Library,2018-02-05T00:00:00Z,711
BANC Library,2018-02-06T00:00:00Z,755
BANC Library,2018-02-07T00:00:00Z,797
BANC Library,2018-02-08T00:00:00Z,650
BANC Library,2018-02-09T00:00:00Z,592
BANC Library,2018-02-10T00:00:00Z,2
BANC Library,2018-02-12T00:00:00Z,793
BANC Library,2018-02-13T00:00:00Z,777
BANC Library,2018-02-14T00:00:00Z,626
BANC Library,2018-02-15T00:00:00Z,666
BANC Library,2018-02-16T00:00:00Z,638
BANC Library,2018-02-17T00:00:00Z,3
BANC Library,2018-02-18T00:00:00Z,4
BANC Library,2018-02-20T00:00:00Z,781
BANC Library,2018-02-21T00:00:00Z,714
BANC Library,2018-02-22T00:00:00Z,690
BANC Library,2018-02-23T00:00:00Z,602
BANC Library,2018-02-24T00:00:00Z,1
BANC Library,2018-02-25T00:00:00Z,2
BANC Library,2018-02-26T00:00:00Z,700
BANC Library,2018-02-27T00:00:00Z,616
BANC Library,2018-02-28T00:00:00Z,764
BANC Library,2018-03-01T00:00:00Z,564
BANC Library,2018-03-02T00:00:00Z,541
BANC Library,2018-03-03T00:00:00Z,5
BANC Library,2018-03-04T00:00:00Z,4
BANC Library,2018-03-05T00:00:00Z,657
BANC Library,2018-03-06T00:00:00Z,676
BANC Library,2018-03-07T00:00:00Z,649
BANC Library,2018-03-08T00:00:00Z,683
BANC Library,2018-03-09T00:00:00Z,595
BANC Library,2018-03-10T00:00:00Z,1
BANC Library,2018-03-11T00:00:00Z,9
BANC Library,2018-03-12T00:00:00Z,642
BANC Library,2018-03-13T00:00:00Z,619
BANC Library,2018-03-14T00:00:00Z,580
BANC Library,2018-03-15T00:00:00Z,666
BANC Library,2018-03-16T00:00:00Z,601
BANC Library,2018-03-18T00:00:00Z,4
BANC Library,2018-03-19T00:00:00Z,747
BANC Library,2018-03-20T00:00:00Z,673
BANC Library,2018-03-21T00:00:00Z,670
BANC Library,2018-03-22T00:00:00Z,576
BANC Library,2018-03-23T00:00:00Z,542
BANC Library,2018-03-26T00:00:00Z,337
BANC Library,2018-03-27T00:00:00Z,390
BANC Library,2018-03-28T00:00:00Z,367
BANC Library,2018-03-29T00:00:00Z,325
BANC Library,2018-03-31T00:00:00Z,3
BANC Library,2018-04-02T00:00:00Z,731
BANC Library,2018-04-03T00:00:00Z,728
BANC Library,2018-04-04T00:00:00Z,703
BANC Library,2018-04-05T00:00:00Z,702
BANC Library,2018-04-06T00:00:00Z,528
BANC Library,2018-04-07T00:00:00Z,4
BANC Library,2018-04-08T00:00:00Z,4
BANC Library,2018-04-09T00:00:00Z,662
BANC Library,2018-04-10T00:00:00Z,591
BANC Library,2018-04-11T00:00:00Z,673
BANC Library,2018-04-12T00:00:00Z,631
BANC Library,2018-04-13T00:00:00Z,494
BANC Library,2018-04-14T00:00:00Z,2
BANC Library,2018-04-15T00:00:00Z,1
BANC Library,2018-04-16T00:00:00Z,596
BANC Library,2018-04-17T00:00:00Z,676
BANC Library,2018-04-18T00:00:00Z,625
BANC Library,2018-04-19T00:00:00Z,745
BANC Library,2018-04-20T00:00:00Z,705
BANC Library,2018-04-21T00:00:00Z,959
BANC Library,2018-04-22T00:00:00Z,2
BANC Library,2018-04-23T00:00:00Z,655
BANC Library,2018-04-24T00:00:00Z,619
BANC Library,2018-04-25T00:00:00Z,664
BANC Library,2018-04-26T00:00:00Z,670
BANC Library,2018-04-27T00:00:00Z,582
BANC Library,2018-04-28T00:00:00Z,2
BANC Library,2018-04-29T00:00:00Z,9
BANC Library,2018-04-30T00:00:00Z,474
BANC Library,2018-05-01T00:00:00Z,527
BANC Library,2018-05-02T00:00:00Z,575
BANC Library,2018-05-03T00:00:00Z,601
BANC Library,2018-05-04T00:00:00Z,548
BANC Library,2018-05-05T00:00:00Z,103
BANC Library,2018-05-06T00:00:00Z,2
BANC Library,2018-05-07T00:00:00Z,528
BANC Library,2018-05-08T00:00:00Z,454
BANC Library,2018-05-09T00:00:00Z,434
BANC Library,2018-05-10T00:00:00Z,433
BANC Library,2018-05-11T00:00:00Z,561
BANC Library,2018-05-12T00:00:00Z,2
BANC Library,2018-05-14T00:00:00Z,378
BANC Library,2018-05-15T00:00:00Z,404
BANC Library,2018-05-16T00:00:00Z,300
BANC Library,2018-05-17T00:00:00Z,377
BANC Library,2018-05-18T00:00:00Z,290
BANC Library,2018-05-19T00:00:00Z,1
BANC Library,2018-05-21T00:00:00Z,376
BANC Library,2018-05-22T00:00:00Z,284
BANC Library,2018-05-23T00:00:00Z,272
BANC Library,2018-05-24T00:00:00Z,279
BANC Library,2018-05-25T00:00:00Z,274
BANC Library,2018-05-29T00:00:00Z,324
BANC Library,2018-05-30T00:00:00Z,359
BANC Library,2018-05-31T00:00:00Z,259
BANC Library,2018-06-01T00:00:00Z,263
BANC Library,2018-06-02T00:00:00Z,22
BANC Library,2018-06-04T00:00:00Z,321
BANC Library,2018-06-05T00:00:00Z,398
BANC Library,2018-06-06T00:00:00Z,305
BANC Library,2018-06-07T00:00:00Z,316
BANC Library,2018-06-08T00:00:00Z,328
BANC Library,2018-06-11T00:00:00Z,312
BANC Library,2018-06-12T00:00:00Z,363
BANC Library,2018-06-13T00:00:00Z,327
BANC Library,2018-06-14T00:00:00Z,336
BANC Library,2018-06-15T00:00:00Z,256
BANC Library,2018-06-18T00:00:00Z,394
BANC Library,2018-06-19T00:00:00Z,428
BANC Library,2018-06-20T00:00:00Z,450
BANC Library,2018-06-21T00:00:00Z,450
BANC Library,2018-06-22T00:00:00Z,378
BANC Library,2018-06-25T00:00:00Z,436
BANC Library,2018-06-26T00:00:00Z,402
BANC Library,2018-06-27T00:00:00Z,400
BANC Library,2018-06-28T00:00:00Z,377
BANC Library,2018-06-29T00:00:00Z,425
DOE Library,2017-07-01T00:00:00Z,81
DOE Library,2017-07-02T00:00:00Z,44
DOE Library,2017-07-03T00:00:00Z,2854
DOE Library,2017-07-04T00:00:00Z,52
DOE Library,2017-07-05T00:00:00Z,2534
DOE Library,2017-07-06T00:00:00Z,2522
DOE Library,2017-07-07T00:00:00Z,2351
DOE Library,2017-07-08T00:00:00Z,1479
DOE Library,2017-07-09T00:00:00Z,1287
DOE Library,2017-07-10T00:00:00Z,2659
DOE Library,2017-07-11T00:00:00Z,2496
DOE Library,2017-07-12T00:00:00Z,2617
