Date-Time,Region,Facility,Entrance,Entries,Exits
7/1/18 12:00 AM,UC Berkeley,AHC Library,AHC Back,0,0
7/1/18 12:00 AM,UC Berkeley,AHC Library,AHC Front,0,0
7/1/18 12:00 AM,UC Berkeley,BANC Library,Bancroft,0,0
7/1/18 12:00 AM,UC Berkeley,BIOS Library,VLSB1,0,1
7/1/18 12:00 AM,UC Berkeley,BIOS Library,VLSB2,0,0
7/1/18 12:00 AM,UC Berkeley,CHEM Library,CHEM 2.9,24,22
7/1/18 12:00 AM,UC Berkeley,DOE Library,Doe North,4,4
7/1/18 12:00 AM,UC Berkeley,DOE Library,Doe South,56,51
7/1/18 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,6,6
7/1/18 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,6,0
7/1/18 12:00 AM,UC Berkeley,EAL Library,EAL 2.9,12,8
7/1/18 12:00 AM,UC Berkeley,EART Library,Earth North,3,2
7/1/18 12:00 AM,UC Berkeley,EART Library,Earth South,0,1
7/1/18 12:00 AM,UC Berkeley,ENGI Library,ENGI,0,0
7/1/18 12:00 AM,UC Berkeley,ENVI Library,ENVI,0,0
7/1/18 12:00 AM,UC Berkeley,GRDS Library,GRAD,0,0
7/1/18 12:00 AM,UC Berkeley,MATH Library,Math 2.9,0,0
7/1/18 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,9,0
7/1/18 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,14,20
7/1/18 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,3,6
7/1/18 12:00 AM,UC Berkeley,MORR Library,Morrison,0,0
7/1/18 12:00 AM,UC Berkeley,MUSI,MUSI,0,0
7/1/18 12:00 AM,UC Berkeley,NEWS Library,News,0,0
7/1/18 12:00 AM,UC Berkeley,OPTO Library,OPTO,0,0
7/1/18 12:00 AM,UC Berkeley,PHYS Library,PHYS,0,0
7/1/18 12:00 AM,UC Berkeley,PUBL Library,PUBL_Back,0,0
7/1/18 12:00 AM,UC Berkeley,PUBL Library,PUBL_Front,0,0
7/1/18 12:00 AM,UC Berkeley,SOCR Library,SOCR,0,0
7/2/18 12:00 AM,UC Berkeley,AHC Library,AHC Back,0,0
7/2/18 12:00 AM,UC Berkeley,AHC Library,AHC Front,0,0
7/2/18 12:00 AM,UC Berkeley,BANC Library,Bancroft,464,467
7/2/18 12:00 AM,UC Berkeley,BIOS Library,VLSB1,182,245
7/2/18 12:00 AM,UC Berkeley,BIOS Library,VLSB2,169,133
7/2/18 12:00 AM,UC Berkeley,CHEM Library,CHEM 2.9,280,291
7/2/18 12:00 AM,UC Berkeley,DOE Library,Doe North,1305,1260
7/2/18 12:00 AM,UC Berkeley,DOE Library,Doe South,867,912
7/2/18 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,220,224
7/2/18 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,298,340
7/2/18 12:00 AM,UC Berkeley,EAL Library,EAL 2.9,267,261
7/2/18 12:00 AM,UC Berkeley,EART Library,Earth North,91,110
7/2/18 12:00 AM,UC Berkeley,EART Library,Earth South,112,91
7/2/18 12:00 AM,UC Berkeley,ENGI Library,ENGI,383,379
7/2/18 12:00 AM,UC Berkeley,ENVI Library,ENVI,259,250
7/2/18 12:00 AM,UC Berkeley,GRDS Library,GRAD,0,0
7/2/18 12:00 AM,UC Berkeley,MATH Library,Math 2.9,221,232
7/2/18 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,959,43
7/2/18 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,20,812
7/2/18 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,978,1077
7/2/18 12:00 AM,UC Berkeley,MORR Library,Morrison,263,228
7/2/18 12:00 AM,UC Berkeley,MUSI,MUSI,99,100
7/2/18 12:00 AM,UC Berkeley,NEWS Library,News,87,85
7/2/18 12:00 AM,UC Berkeley,OPTO Library,OPTO,21,21
7/2/18 12:00 AM,UC Berkeley,PHYS Library,PHYS,0,0
7/2/18 12:00 AM,UC Berkeley,PUBL Library,PUBL_Back,22,22
7/2/18 12:00 AM,UC Berkeley,PUBL Library,PUBL_Front,21,21
7/2/18 12:00 AM,UC Berkeley,SOCR Library,SOCR,53,46
7/3/18 12:00 AM,UC Berkeley,AHC Library,AHC Back,0,0
7/3/18 12:00 AM,UC Berkeley,AHC Library,AHC Front,0,0
7/3/18 12:00 AM,UC Berkeley,BANC Library,Bancroft,418,433
7/3/18 12:00 AM,UC Berkeley,BIOS Library,VLSB1,183,221
7/3/18 12:00 AM,UC Berkeley,BIOS Library,VLSB2,175,148
7/3/18 12:00 AM,UC Berkeley,CHEM Library,CHEM 2.9,199,208
7/3/18 12:00 AM,UC Berkeley,DOE Library,Doe North,1265,1227
7/3/18 12:00 AM,UC Berkeley,DOE Library,Doe South,858,922
7/3/18 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,191,199
7/3/18 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,299,346
7/3/18 12:00 AM,UC Berkeley,EAL Library,EAL 2.9,230,240
7/3/18 12:00 AM,UC Berkeley,EART Library,Earth North,72,79
7/3/18 12:00 AM,UC Berkeley,EART Library,Earth South,84,77
7/3/18 12:00 AM,UC Berkeley,ENGI Library,ENGI,354,353
7/3/18 12:00 AM,UC Berkeley,ENVI Library,ENVI,187,186
7/3/18 12:00 AM,UC Berkeley,GRDS Library,GRAD,0,0
7/3/18 12:00 AM,UC Berkeley,MATH Library,Math 2.9,200,216
7/3/18 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,913,41
7/3/18 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,13,754
7/3/18 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,966,1036
7/3/18 12:00 AM,UC Berkeley,MORR Library,Morrison,220,203
7/3/18 12:00 AM,UC Berkeley,MUSI,MUSI,84,84
7/3/18 12:00 AM,UC Berkeley,NEWS Library,News,91,92
7/3/18 12:00 AM,UC Berkeley,OPTO Library,OPTO,19,18
7/3/18 12:00 AM,UC Berkeley,PHYS Library,PHYS,0,0
