facility,sqft,annual_counter,sqft_log,counter_log
Anthropology,6763,,8.819221858,
Biosciences,49216,124909,10.80397405,11.73534075
Gardner,133140,,11.79915649,
Engineering,21370,221020,9.969743348,12.30600847
Music,24039,7968,10.08743279,8.983188799
East Asian,47384,49069,10.7660399,10.80098275
Environmental Design,14846,132684,9.605485748,11.79572564
Doe Annex,74776,,11.22225226,
Business,32113,,10.37701621,
Chemistry,9253,32728,9.132703102,10.39598626
Moffitt,83623,1118318,11.33407388,13.92733633
Optometry,3739,15239,8.226573475,9.63161321
Doe,90185,861341,11.4096184,13.66624576
Public Health,5656,20720,8.640472208,9.938854696
Earth Sciences,9947,58573,9.205026277,10.97802912
Math-Stat,8109,24478,9.000729835,10.10553003
Social Research,3792,24066,8.240648863,10.08855533
